TrialNumber;bg_or;t_or;num_distractors;trial_id;trial_rep;participant;trial_type;trial_index;resp_rt;resp_corr;resp_keys;target_pos;target_size;singleton_id;singleton_pos;singleton_size;singleton_ori;lures_pos;lures_size;lures_ori;original_TrialNum;thisRepN_original;thisRepN;bg_or_original;t_or_original;num_distractors_original;ran;order
1;0;1;0;11;0;31.0;practice_freeview;1.0;5555.0;5555.0;freeview_timeup;[-463.0, 73.0];[35.0, 30.0];1.0;[287.0, -312.0];[35.0, 30.0];1.0;[];[];[];22.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
2;1;0;2;7;0;31.0;practice_freeview;2.0;5555.0;5555.0;freeview_timeup;[476.0, -300.0];[35.0, 30.0];0.0;[-641.0, -185.0];[35.0, 30.0];1.0;[[-458.0, -314.0], [287.0, 56.0]];[[35.0, 30.0], [35.0, 30.0]];[0, 0];13.0;0.0;0.0;1.0;0.0;2.0;1.0;1.0
3;1;0;4;8;0;31.0;practice_freeview;3.0;5555.0;5555.0;freeview_timeup;[314.0, 73.0];[35.0, 30.0];0.0;[-295.0, -294.0];[35.0, 30.0];0.0;[[-631.0, 298.0], [-299.0, 185.0], [470.0, 314.0], [618.0, -170.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 1, 1];15.0;0.0;0.0;1.0;0.0;4.0;1.0;2.0
4;1;1;4;18;0;31.0;practice_freeview;4.0;5555.0;5555.0;freeview_timeup;[630.0, -63.0];[35.0, 30.0];1.0;[-306.0, 305.0];[35.0, 30.0];0.0;[[-635.0, -54.0], [-630.0, 66.0], [477.0, -171.0], [474.0, 306.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 0, 1, 1];36.0;0.0;0.0;1.0;1.0;4.0;1.0;3.0
5;0;1;2;12;0;31.0;practice_freeview;5.0;5555.0;5555.0;freeview_timeup;[644.0, -57.0];[35.0, 30.0];1.0;[-468.0, 309.0];[35.0, 30.0];1.0;[[-617.0, 297.0], [479.0, 297.0]];[[35.0, 30.0], [35.0, 30.0]];[1, 0];24.0;0.0;0.0;0.0;1.0;2.0;1.0;4.0
6;0;1;8;14;0;31.0;practice_freeview;6.0;5555.0;5555.0;freeview_timeup;[289.0, 55.0];[35.0, 30.0];1.0;[-475.0, 306.0];[35.0, 30.0];1.0;[[-628.0, 166.0], [-457.0, -293.0], [-466.0, -47.0], [-307.0, -185.0], [298.0, 171.0], [475.0, -72.0], [643.0, -191.0], [637.0, -65.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 0, 0, 0, 0, 0, 0];28.0;0.0;0.0;0.0;1.0;8.0;1.0;5.0
7;1;0;16;10;0;31.0;practice_freeview;7.0;5555.0;5555.0;freeview_timeup;[-286.0, -59.0];[35.0, 30.0];0.0;[473.0, 72.0];[35.0, 30.0];0.0;[[-619.0, -289.0], [-641.0, -59.0], [-644.0, 68.0], [-455.0, -180.0], [-476.0, -71.0], [-463.0, 66.0], [-462.0, 194.0], [-298.0, 179.0], [302.0, -302.0], [293.0, 189.0], [297.0, 307.0], [457.0, -182.0], [465.0, 313.0], [638.0, -167.0], [634.0, -65.0], [643.0, 65.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1];19.0;0.0;0.0;1.0;0.0;16.0;1.0;6.0
8;1;1;16;20;0;31.0;practice_freeview;8.0;5555.0;5555.0;freeview_timeup;[302.0, 309.0];[35.0, 30.0];1.0;[-465.0, 65.0];[35.0, 30.0];0.0;[[-624.0, -183.0], [-641.0, -67.0], [-640.0, 171.0], [-630.0, 312.0], [-468.0, -186.0], [-464.0, -48.0], [-308.0, -304.0], [-300.0, -178.0], [302.0, -193.0], [303.0, 175.0], [456.0, -297.0], [459.0, -187.0], [478.0, 60.0], [469.0, 172.0], [644.0, -63.0], [617.0, 57.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0];40.0;0.0;0.0;1.0;1.0;16.0;1.0;7.0
9;1;1;8;19;0;31.0;practice_freeview;9.0;5555.0;5555.0;freeview_timeup;[-302.0, 63.0];[35.0, 30.0];1.0;[478.0, -58.0];[35.0, 30.0];1.0;[[-631.0, 285.0], [-459.0, 183.0], [-473.0, 292.0], [-311.0, 309.0], [290.0, -166.0], [290.0, 314.0], [464.0, 193.0], [627.0, 300.0]];[[35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0], [35.0, 30.0]];[0, 0, 1, 1, 0, 1, 0, 0];38.0;0.0;0.0;1.0;1.0;8.0;1.0;8.0
10;0;0;2;2;0;31.0;practice_freeview;10.0;5555.0;5555.0;freeview_timeup;[641.0, -181.0];[35.0, 30.0];0.0;[-299.0, -288.0];[35.0, 30.0];0.0;[[-634.0, -52.0], [464.0, 290.0]];[[35.0, 30.0], [35.0, 30.0]];[0, 0];3.0;0.0;0.0;0.0;0.0;2.0;1.0;9.0
